ID,created_at,topics,vocab,CEFR,IPA,word_form,E_meaning,EV_meaning,V_meaning,E_example,V_example,word_family,synonymous,antonym,bonus,user_id,learning_level,next_review
1,4/27/2026 3:53:54,Countries and Nationalities,VietNam,B1,/ˌvjetˈnæm/,noun,A country in southeast asia,Một quốc gia ở Đông Nam Á,Việt Nam,People often travel through different regions of vietNam to experience its diverse culture,Mọi người thường du lịch khắp các vùng miền của Việt Nam để trải nghiệm nền văn hóa đa dạng,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
2,4/27/2026 3:53:54,Countries and Nationalities,VietNamese,B1,/ˌvjet·nəˈmiːz/,noun - countable,A person from vietNam,Một người đến từ Việt Nam,Người Việt Nam,The student exchange program hosted a vietNamese for the semester,Chương trình trao đổi sinh viên đón tiếp một sinh viên Việt Nam trong một học kỳ,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
3,4/27/2026 3:53:54,Countries and Nationalities,VietNamese,B1,/ˌvjet·nəˈmiːz/,noun - uncountable,The main language spoken in vietNam,Ngôn ngữ chính được sử dụng tại Việt Nam,Tiếng Việt,The restaurant menu was also written in vietNamese for customers who preferred it,"Thực đơn của nhà hàng cũng được viết bằng tiếng Việt, dành cho những khách hàng nào muốn sử dụng ngôn ngữ này",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
4,4/27/2026 3:53:54,Countries and Nationalities,VietNamese,B1,/ˌvjet·nəˈmiːz/,adjective,"From or about vietNam, its people, or its language","Thuộc về hoặc liên quan đến Việt Nam, con người Việt Nam, hoặc ngôn ngữ tiếng Việt",Thuộc về Việt Nam,Many vietNamese families celebrate the new year with special traditions, Nhiều gia đình Việt Nam ăn tết với những truyền thống đặc biệt,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
5,4/27/2026 3:53:54,Countries and Nationalities,China,B1,/ˈtʃaɪ·nə/,noun,"High-quality clay that is shaped and heated to become hard, or objects like cups and plates made from this material","Loại đất sét chất lượng cao được tạo hình và nung ở nhiệt độ cao để đạt độ cứng nhất định, hoặc dùng để chỉ các vật dụng như tách, đĩa được sản xuất từ vật liệu này",Sứ/Đồ sứ,She served tea in beautiful teacups made of china,Cô ấy mời trà bằng những chiếc tách sứ đẹp,,,,"Nước Anh gọi Trung Quốc là ""China"" vì sự giao thoa văn hóa và thương mại, nơi đồ sứ cao cấp (china/chinaware) từ Trung Quốc trở thành biểu tượng hàng hóa đặc trưng nổi tiếng khắp châu Âu. Từ này bắt nguồn từ tên nhà Tần (Qin), qua tiếng Phạn Cīna và Ba Tư Chīn trước khi trở thành ""China"" trong tiếng Anh, đồng thời mang nghĩa là ""đồ sứ""",7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
6,4/27/2026 3:53:54,Countries and Nationalities,China,B1,/ˈtʃaɪ·nə/,noun,A country in east asia,Một quốc gia ở đông á,Trung Quốc,The climate varies greatly across china's vast land,Khí hậu vô cùng đa dạng trên khắp lãnh thổ rộng lớn của trung quốc,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
7,4/27/2026 3:53:54,Countries and Nationalities,Chinese,A2,/tʃaɪˈniːz/,noun - countable,A person from china,Một người đến từ trung quốc,Người trung quốc,They met a chinese while traveling abroad,Họ đã gặp một người trung quốc khi đi du lịch nước ngoài,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
8,4/27/2026 3:53:54,Countries and Nationalities,Chinese,A2,/tʃaɪˈniːz/,noun - uncountable,The language spoken in china,Ngôn ngữ được sử dụng tại trung quốc,Tiếng trung,"Learning chinese characters can be challenging for beginners, requiring much patience.","Việc học chữ hán có thể khó khăn đối với người mới bắt đầu, đòi hỏi rất nhiều kiên nhẫn",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
9,4/27/2026 3:53:54,Countries and Nationalities,Chinese,A2,/tʃaɪˈniːz/,adjective,"From or about china, its people, or its language","Liên quan đến hoặc có nguồn gốc từ trung quốc, người dân trung quốc, hoặc tiếng trung quốc",Thuộc về Trung Quốc,She practiced writing chinese characters every day to improve her language skills,Cô ấy luyện viết chữ hán mỗi ngày để nâng cao kỹ năng ngôn ngữ của mình,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
10,4/27/2026 3:53:54,Countries and Nationalities,Japan,A2,/dʒəˈpæn/,noun,A country in east asia made up of a group of islands,Một quốc gia nằm ở đông á bao gồm một nhóm các đảo,Nhật Bản,"Because it is a group of islands, japan has a long coastline","Là một quốc đảo, nhật bản có đường bờ biển dài",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
11,4/27/2026 3:53:54,Countries and Nationalities,Japanese,A2,/ˌdʒæp·ənˈiːz/,noun - countable,A person from japan,Một người có nguồn gốc hoặc quốc tịch nhật bản,Người nhật,"At the international gathering, one japanese shared insights about their culture","Tại buổi gặp gỡ quốc tế, một người nhật đã chia sẻ những hiểu biết sâu sắc về văn hóa của họ",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
12,4/27/2026 3:53:54,Countries and Nationalities,Japanese,A2,/ˌdʒæp·ənˈiːz/,noun - uncountable,The main language spoken in japan,Ngôn ngữ chính được nói tại nhật bản,Tiếng nhật,She is learning japanese to communicate when she travels there,Cô ấy đang học tiếng nhật để giao tiếp khi du lịch ở đó,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
13,4/27/2026 3:53:54,Countries and Nationalities,Japanese,A2,/ˌdʒæp·ənˈiːz/,adjective,"From or about japan, its people, or its language","Liên quan đến, hoặc có nguồn gốc từ nhật bản, người dân nhật bản, hoặc ngôn ngữ nhật bản",Thuộc về Nhật Bản,The japanese car company makes reliable vehicles,Công ty ô tô nhật bản sản xuất những chiếc xe đáng tin cậy,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
14,4/27/2026 3:53:54,Countries and Nationalities,America,A2,/əˈmer·ɪ·kə/,noun,The united states of america (USA),Hợp chủng quốc hoa kỳ,Mỹ,The company decided to expand its business into america,Công ty quyết định mở rộng kinh doanh sang mỹ,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
