ID,created_at,topics,vocab,CEFR,IPA,word_form,E_meaning,EV_meaning,V_meaning,E_example,V_example,word_family,synonymous,antonym,bonus,user_id
1,4/25/2026 1:06:12,Countries and Nationalities,Vietnam,B1,/ˌvjetˈnæm/,noun,A country in southeast asia,Một quốc gia ở đông nam á,Việt Nam,People often travel through different regions of vietnam to experience its diverse culture,Mọi người thường du lịch khắp các vùng miền của việt nam để trải nghiệm nền văn hóa đa dạng,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
2,4/25/2026 1:06:12,Countries and Nationalities,Vietnamese,B1,/ˌvjet·nəˈmiːz/,noun - countable,A person from vietnam,Một người đến từ việt nam,Người Việt Nam,The student exchange program hosted a vietnamese for the semester,Chương trình trao đổi sinh viên đón tiếp một sinh viên việt nam trong một học kỳ,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
3,4/25/2026 1:06:12,Countries and Nationalities,Vietnamese,B1,/ˌvjet·nəˈmiːz/,noun - uncountable,The main language spoken in vietnam,Ngôn ngữ chính được sử dụng tại việt nam,Tiếng Việt,The restaurant menu was also written in vietnamese for customers who preferred it,"Thực đơn của nhà hàng cũng được viết bằng tiếng việt, dành cho những khách hàng nào muốn sử dụng ngôn ngữ này",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
4,4/25/2026 1:06:12,Countries and Nationalities,Vietnamese,B1,/ˌvjet·nəˈmiːz/,adjective,"From or about vietnam, its people, or its language","Thuộc về hoặc liên quan đến việt nam, con người việt nam, hoặc ngôn ngữ tiếng việt",Thuộc về Việt Nam,Many vietnamese families celebrate the new year with special traditions, Nhiều gia đình việt nam ăn tết với những truyền thống đặc biệt,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
5,4/25/2026 1:06:12,Countries and Nationalities,China,B1,/ˈtʃaɪ·nə/,noun,"High-quality clay that is shaped and heated to become hard, or objects like cups and plates made from this material","Loại đất sét chất lượng cao được tạo hình và nung ở nhiệt độ cao để đạt độ cứng nhất định, hoặc dùng để chỉ các vật dụng như tách, đĩa được sản xuất từ vật liệu này",Sứ/Đồ sứ,She served tea in beautiful teacups made of china,Cô ấy mời trà bằng những chiếc tách sứ đẹp,,,,"Nước Anh gọi Trung Quốc là ""China"" vì sự giao thoa văn hóa và thương mại, nơi đồ sứ cao cấp (china/chinaware) từ Trung Quốc trở thành biểu tượng hàng hóa đặc trưng nổi tiếng khắp châu Âu. Từ này bắt nguồn từ tên nhà Tần (Qin), qua tiếng Phạn Cīna và Ba Tư Chīn trước khi trở thành ""China"" trong tiếng Anh, đồng thời mang nghĩa là ""đồ sứ""",7621f042-1c7b-4cd7-83fb-d48d3f132181
6,4/25/2026 1:06:12,Countries and Nationalities,China,B1,/ˈtʃaɪ·nə/,noun,A country in east asia,Một quốc gia ở đông á,Trung Quốc,The climate varies greatly across china's vast land,Khí hậu vô cùng đa dạng trên khắp lãnh thổ rộng lớn của trung quốc,,,,"Nước Anh gọi Trung Quốc là ""China"" vì sự giao thoa văn hóa và thương mại, nơi đồ sứ cao cấp (china/chinaware) từ Trung Quốc trở thành biểu tượng hàng hóa đặc trưng nổi tiếng khắp châu Âu. Từ này bắt nguồn từ tên nhà Tần (Qin), qua tiếng Phạn Cīna và Ba Tư Chīn trước khi trở thành ""China"" trong tiếng Anh, đồng thời mang nghĩa là ""đồ sứ""",7621f042-1c7b-4cd7-83fb-d48d3f132181
7,4/25/2026 1:06:12,Countries and Nationalities,Chinese,A2,/tʃaɪˈniːz/,noun - countable,A person from china,Một người đến từ trung quốc,Người trung quốc,They met a chinese while traveling abroad,Họ đã gặp một người trung quốc khi đi du lịch nước ngoài,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
8,4/25/2026 1:06:12,Countries and Nationalities,Chinese,A2,/tʃaɪˈniːz/,noun - uncountable,The language spoken in china,Ngôn ngữ được sử dụng tại trung quốc,Tiếng trung,"Learning chinese characters can be challenging for beginners, requiring much patience.","Việc học chữ hán có thể khó khăn đối với người mới bắt đầu, đòi hỏi rất nhiều kiên nhẫn",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
9,4/25/2026 1:06:12,Countries and Nationalities,Chinese,A2,/tʃaɪˈniːz/,adjective,"From or about china, its people, or its language","Liên quan đến hoặc có nguồn gốc từ trung quốc, người dân trung quốc, hoặc tiếng trung quốc",Thuộc về Trung Quốc,She practiced writing chinese characters every day to improve her language skills,Cô ấy luyện viết chữ hán mỗi ngày để nâng cao kỹ năng ngôn ngữ của mình,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
10,4/25/2026 1:06:12,Countries and Nationalities,Japan,A2,/dʒəˈpæn/,noun,A country in east asia made up of a group of islands,Một quốc gia nằm ở đông á bao gồm một nhóm các đảo,Nhật Bản,"Because it is a group of islands, japan has a long coastline","Là một quốc đảo, nhật bản có đường bờ biển dài",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
11,4/25/2026 1:06:12,Countries and Nationalities,Japanese,A2,/ˌdʒæp·ənˈiːz/,noun - countable,A person from japan,Một người có nguồn gốc hoặc quốc tịch nhật bản,Người nhật,"At the international gathering, one japanese shared insights about their culture","Tại buổi gặp gỡ quốc tế, một người nhật đã chia sẻ những hiểu biết sâu sắc về văn hóa của họ",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181
