ID,created_at,topics,vocab,CEFR,IPA,word_form,E_meaning,EV_meaning,V_meaning,E_example,V_example,word_family,synonymous,antonym,bonus,user_id,learning_level,next_review
65,4/28/2026 1:46:23,Cardinal Numbers,zero,A2,/ˈzɪr·oʊ/,number,(the number) 0; nothing,Số 0; không có gì,Số 0; không có gì,The team scored zero points in the first half of the game,Đội ghi không điểm trong hiệp một của trận đấu,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
66,4/28/2026 1:46:23,Cardinal Numbers,one,A1,/wʌn/,number,The number 1,Số 1,Số 1,He needs one more piece to complete the puzzle,Anh ấy cần thêm một mảnh nữa để hoàn thành bức xếp hình,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
67,4/28/2026 1:46:23,Cardinal Numbers,two,A1,/tuː/,number,The number 2,Số 2,Số 2,"To open the box, you need two keys","Để mở cái hộp, bạn cần hai chiếc chìa khóa",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
68,4/28/2026 1:46:23,Cardinal Numbers,three,A1,/θriː/,number,The number 3,Số 3,Số 3,The recipe calls for three eggs,Công thức yêu cầu ba quả trứng,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
69,4/28/2026 1:46:23,Cardinal Numbers,four,A1,/fɔːr/,number,The number 4,Số 4,Số 4,Most vehicles have four wheels,Hầu hết các phương tiện có bốn bánh,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
70,4/28/2026 1:46:23,Cardinal Numbers,five,A1,/faɪv/,number,The number 5,Số 5,Số 5,There are five books stacked neatly on the shelf,Có năm cuốn sách được xếp gọn gàng trên kệ,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
71,4/28/2026 1:46:23,Cardinal Numbers,six,A1,/sɪks/,number,The number 6,Số 6,Số 6,We counted six birds perched on the telephone wire,Chúng tôi đếm được sáu con chim đậu trên dây điện thoại,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
72,4/28/2026 1:46:23,Cardinal Numbers,seven,A1,/ˈsev·ən/,number,The number 7,Số 7,Số 7,The player wore the number seven jersey during the match,Cầu thủ đã mặc áo đấu số bảy trong trận đấu,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
73,4/28/2026 1:46:23,Cardinal Numbers,eight,A1,/eɪt/,number,The number 8,Số 8,Số 8,There are eight planets in our solar system,Có tám hành tinh trong hệ mặt trời của chúng ta,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
74,4/28/2026 1:46:23,Cardinal Numbers,nine,A1,/naɪn/,number,The number 9,Số 9,Số 9,She correctly answered nine out of ten questions on the quiz,Cô ấy đã trả lời đúng chín trên mười câu hỏi trong bài kiểm tra,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
75,4/28/2026 1:46:23,Cardinal Numbers,ten,A1,/ten/,number,The number 10,Số 10,Số 10,There are ten digits on a person's hands,Có mười ngón tay trên bàn tay,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
76,4/28/2026 1:46:23,Cardinal Numbers,eleven,A1,/əˈlev·ən/,number,The number 11,Số 11,Số 11,He waited for eleven minutes before the bus arrived,Anh ấy đã chờ mười một phút trước khi xe buýt đến,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
77,4/28/2026 1:46:23,Cardinal Numbers,twelve,A1,/twelv/,number,The number 12,Số 12,Số 12,There are twelve months in a year,Một năm có mười hai tháng,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
78,4/28/2026 1:46:23,Cardinal Numbers,thirteen,A1,/θɜrˈtiːn/,number,The number 13,Số 13,Số 13,The team needed thirteen points to win the championship game,Đội cần mười ba điểm để thắng trận chung kết,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
79,4/28/2026 1:46:23,Cardinal Numbers,fourteen,A1,/ˌfɔːrˈtiːn/,number,The number 14,Số 14,Số 14,The child is fourteen years old and starting high school,Cậu bé mười bốn tuổi và chuẩn bị lên cấp ba,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
80,4/28/2026 1:46:23,Cardinal Numbers,fifteen,A1,/ˌfɪfˈtiːn/,number,The number 15,Số 15,Số 15,She walked about fifteen blocks to reach the park,Cô ấy đã đi bộ khoảng mười lăm dãy phố để đến công viên,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
81,4/28/2026 1:46:23,Cardinal Numbers,sixteen,A1,/ˌsɪkˈstiːn/,number,The number 16,Số 16,Số 16,We need sixteen chairs for everyone to sit comfortably,Chúng ta cần mười sáu chiếc ghế để mọi người ngồi thoải mái,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
82,4/28/2026 1:46:23,Cardinal Numbers,seventeen,A1,/ˌsev·ənˈtiːn/,number,The number 17,Số 17,Số 17,There are seventeen steps leading up to the main entrance,Có mười bảy bậc thang dẫn lên lối vào chính,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
