ID,created_at,topics,vocab,CEFR,IPA,word_form,E_meaning,EV_meaning,V_meaning,E_example,V_example,word_family,synonymous,antonym,bonus,user_id,learning_level,next_review
165,5/3/2026 23:14:02,Places,countryside,A2,/ˈkʌn·triː·saɪd/,noun,"Land outside of towns and cities, used for farming or left in its natural state","Vùng đất nằm ngoài khu vực đô thị (thị trấn và thành phố), được sử dụng cho hoạt động nông nghiệp hoặc giữ nguyên trạng thái tự nhiên",Nông thôn,"We drove for an hour, leaving the city behind to enjoy the quiet beauty of the countryside","Chúng tôi đã lái xe một tiếng đồng hồ, bỏ lại thành phố phía sau để tận hưởng vẻ đẹp thanh bình của vùng quê",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
166,5/3/2026 23:14:02,Places,city,A1,/ˈsɪɾ·iː/,noun,A large town,Một thị trấn lớn,Thành phố,People often travel to the nearest city for shopping and entertainment,Mọi người thường đến thành phố gần nhất để mua sắm và giải trí,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
167,5/3/2026 23:14:02,Places,field,A2,/fiːld/,noun,"A piece of land where people grow crops or keep animals, often surrounded by a fence","Một khu đất nơi con người trồng trọt mùa màng hoặc chăn nuôi động vật, thường được bao quanh bởi hàng rào",Cánh đồng,The farmer walked across the field to check on the ripening wheat,Người nông dân đi ngang qua cánh đồng để kiểm tra lúa mì đang chín,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
168,5/3/2026 23:14:02,Places,lake,A2,/leɪk/,noun,A large area of water that is surrounded by land and only connects to the sea through rivers or streams,Một vùng nước rộng lớn được bao bọc bởi đất liền và chỉ kết nối với biển thông qua các sông hoặc suối,Hồ,"During summer, people often swim in the cool lake water","Vào mùa hè, mọi người thường tắm trong nước hồ mát",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
169,5/3/2026 23:14:02,Places,west,A2,/west/,noun,"The direction where the sun sets, opposite of east, or a section of a place or land that is in that direction","Là phương hướng mà mặt trời lặn, đối diện với hướng đông; hoặc là một khu vực, một phần của địa điểm hay vùng đất nằm theo phương hướng đó",Hướng tây,"The explorers headed west, following the river until they reached the ocean","Những nhà thám hiểm đi về phía tây, men theo dòng sông cho đến khi họ ra tới biển",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
170,5/3/2026 23:14:02,Places,north,A2,/nɔːrθ/,noun,"The direction opposite south, towards the top of a map, or the area of a place located in that direction","Hướng đối diện với phía nam, thường được định vị ở phía trên của bản đồ, hoặc là khu vực của một địa điểm nằm theo hướng đó",Hướng bắc,The ship sailed north across the vast ocean,Tàu đi về phía bắc băng qua đại dương bao la,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
171,5/3/2026 23:14:02,Places,south,A2,/saʊθ/,noun,"The main direction on a compass that is opposite to north, or a region located in that direction","Hướng chính trên la bàn, đối diện với hướng bắc, hoặc một khu vực nằm theo hướng đó",Hướng nam,The bird flew south for the winter,Con chim bay về phương nam trú đông,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
172,5/3/2026 23:14:02,Places,east,A2,/iːst/,noun,"The direction where the sun rises, which is opposite the west, or a section of an area that lies in that direction","Hướng mặt trời mọc, đối diện với hướng tây, hoặc một phần của khu vực nằm về hướng đó",Hướng đông,The sun comes up in the east every morning,Mặt trời mọc ở phía đông mỗi sáng,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
173,5/3/2026 23:14:02,Places,river,A1,/ˈrɪv·ər/,noun,"A natural, wide body of fresh water that moves across land and empties into a sea, lake, or another river","Một dòng nước ngọt tự nhiên, rộng lớn chảy qua đất liền và đổ ra biển, hồ hoặc một con sông khác",Sông,"Boats gently floated along the calm river, moving slowly with the current","Thuyền lững lờ trôi trên dòng sông êm đềm, xuôi theo dòng nước",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
174,5/3/2026 23:14:02,Places,hill,A2,/hɪl/,noun,A raised area of land,Một vùng đất nhô cao,Đồi,Children enjoyed sledding down the snowy hill in winter,Trẻ em thích thú trượt tuyết xuống ngọn đồi tuyết vào mùa đông,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
