ID,created_at,topics,vocab,CEFR,IPA,word_form,E_meaning,EV_meaning,V_meaning,E_example,V_example,word_family,synonymous,antonym,bonus,user_id,learning_level,next_review
147,5/1/2026 3:13:29,Animals,spider,B1,/ˈspaɪ·dər/,noun,A small creature with eight thin legs that traps insects in a web,"Một sinh vật nhỏ có tám chân thon, chuyên giăng lưới hoặc tơ để bẫy côn trùng",Con nhện,A tiny spider spun its delicate web between the leaves of the plant,Một con nhện nhỏ xíu giăng tấm mạng nhện mỏng manh của mình giữa những chiếc lá cây,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
148,5/1/2026 3:13:29,Animals,dolphin,B1,/ˈdɑːl·fɪn/,noun,"An ocean animal that is big, sleek, and gray, with a long, pointy nose","Một loài động vật có vú sống dưới biển, thân hình to lớn, thon gọn, màu xám, với phần mũi dài và nhọn",Con cá heo,"A large dolphin surfaced near the boat, its smooth skin glistening in the sun","Một chú cá heo to lớn nổi lên gần con thuyền, làn da mượt mà của nó óng ánh dưới nắng",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
149,5/1/2026 3:13:29,Animals,elephant,A2,/ˈel·ə·fənt/,noun,"An elephant is a very big grey animal that has a long nose, called a trunk, which it uses to pick up objects","Voi là một loài động vật lớn màu xám, có cái mũi dài được gọi là vòi, dùng để nhặt đồ vật",Con voi,The elephant used its trunk to spray water over its back,Voi dùng vòi phun nước lên lưng,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
150,5/1/2026 3:13:29,Animals,an elephant in the room,C1,/ˈɛləfənt ɪn ðə rum/,Idioms,"A major, obvious issue that everyone is aware of but avoids discussing openly","Một vấn đề lớn, rõ ràng mà mọi người đều biết nhưng tránh thảo luận công khai",Vấn đề hiển nhiên nhưng bị né tránh,"During the team meeting, nobody mentioned the missed deadline—it was the elephant in the room that everyone pretended not to notice","Trong buổi họp nhóm, không ai đề cập đến việc trễ hạn—đó là một vấn đề rõ ràng mà mọi người đều biết nhưng đều giả vờ như không để ý thấy",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
151,5/1/2026 3:13:29,Animals,horse,A1,/hɔːrs/,noun,A big animal with four legs that people ride or use to carry things or pull vehicles,Một loài động vật lớn có bốn chân mà con người cưỡi hoặc dùng để chở đồ vật hay kéo phương tiện,Con ngựa,She learned to ride a horse on the farm,Cô ấy học cưỡi ngựa ở nông trại,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
152,5/1/2026 3:13:29,Animals,"you can lead a horse to water, but you can't make him drink",C1,/ju kən liːd ə hɔːrs tə ˈwɔːtər bʌt ju kænt meɪk hɪm drɪŋk/,Idioms,"You can provide someone with an opportunity or resources, but you cannot force them to take action","Bạn có thể tạo điều kiện hoặc cung cấp nguồn lực cho ai đó, nhưng không thể ép họ hành động","Có thể tạo điều kiện, cơ hội giúp đỡ nhưng không thể ép buộc người khác nhận hay hành động","I bought all the textbooks and set up a quiet study space, but you can lead a horse to water, but you can't make him drink—my son still hasn’t opened a single book","Tôi đã mua tất cả sách giáo khoa và chuẩn bị một không gian học tập yên tĩnh, nhưng đúng là có thể dẫn ngựa đến nguồn nước chứ không thể ép nó uống—con trai tôi vẫn chưa mở một cuốn sách nào cả.",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
153,5/1/2026 3:13:29,Animals,monkey,A2,/ˈmʌŋ·kiː/,noun,"An animal that lives in hot places, having a long tail and the ability to climb trees. it belongs to the primate group, which includes animals most similar to humans","Một loài động vật thuộc nhóm linh trưởng, sống ở những vùng khí hậu nóng, có đuôi dài và khả năng leo cây. đây là nhóm động vật có nhiều điểm tương đồng nhất với con người",Con khỉ,"The monkey sat on a high branch, peeling a banana to eat","Con khỉ ngồi trên cành cây cao, bóc vỏ chuối để ăn",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
154,5/1/2026 3:13:29,Animals,monkey,C2,/ˈmʌŋ·kiː/,noun,A child who behaves badly,Một đứa trẻ có hành vi tinh nghịch hoặc quậy phá,Đứa trẻ nghịch ngợm,Please tell that monkey to stop throwing food,Làm ơn bảo đứa trẻ nghịch ngợm đó đừng ném thức ăn nữa.,,varmint squirt tinker urchin brat tyke perisher imp nipper scallywag,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
155,5/1/2026 3:13:29,Animals,monkey,C2,/ˈmʌŋ·kiː/,noun,£500,Chỉ số tiền năm trăm bảng anh,năm trăm bảng anh,He needed a monkey to cover the car repair,Anh ấy cần 500 bảng để sửa xe,,,,"Bắt nguồn từ quân đội Anh đóng quân tại Ấn Độ trong thời kỳ thuộc địa. Vào thời điểm đó, tờ tiền mệnh giá 500 Rupee của Ấn Độ có in hình một con khỉ. Khi các binh lính Anh trở về quê hương, họ mang theo thuật ngữ này vào giới lóng (slang) ở London. Dần dần, ""monkey"" được dùng mặc định để chỉ 500 đơn vị tiền tệ của Anh (500 bảng)",7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
156,5/1/2026 3:13:29,Animals,bear,A2,/ber/,noun,"A large, strong, furry wild animal that lives in cold regions","Một loài động vật hoang dã cỡ lớn, có thân hình vạm vỡ, lông dày, thường sinh sống ở các khu vực khí hậu lạnh",Con gấu,A brown bear was seen foraging for berries near the edge of the forest,Một con gấu nâu được phát hiện đang kiếm ăn quả mọng gần bìa rừng,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
