ID,created_at,topics,vocab,CEFR,IPA,word_form,E_meaning,EV_meaning,V_meaning,E_example,V_example,word_family,synonymous,antonym,bonus,user_id,learning_level,next_review
96,4/29/2026 13:22:51,Number One Idioms,the one percent,C1,/ðə wən pəɹˈsɛnt/,Idioms,"Refers to the wealthiest 1% of the population, believed to hold the majority of financial resources and societal influence","Chỉ nhóm 1% dân số giàu nhất, được cho là sở hữu phần lớn tiền bạc, tài sản và quyền lực trong xã hội.",Nhóm 1% dân số giàu nhất thế giới,The gap between the one percent and the rest of society has widened significantly over the past decade,Khoảng cách giữa nhóm 1% người giàu nhất và phần còn lại của xã hội đã nới rộng đáng kể trong thập kỷ qua,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
97,4/29/2026 13:22:51,Number One Idioms,go off on one,C1,/ɡəʊ ɒf ɒn wʌn/,Idioms,To suddenly become extremely angry and start yelling or acting aggressively,Đột nhiên trở nên cực kỳ tức giận và bắt đầu la hét hoặc hành động hung hăng,Nổi khùng,"When the kids left their toys scattered everywhere, their dad went off on one about keeping the house tidy","Khi lũ trẻ bày đồ chơi bừa bộn khắp nơi, bố chúng đã nổi cơn thịnh nộ về việc giữ nhà cửa gọn gàng",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
98,4/29/2026 13:22:51,Number One Idioms,one by one,B1,/ˌwʌn baɪ ˈwʌn/,Idioms,"To do or address things individually in sequence, rather than all at once or together",Làm hoặc giải quyết từng thứ theo thứ tự thay vì làm tất cả cùng lúc,Lần lượt từng cái một,The group solved the problems one by one instead of trying to handle everything at once,Nhóm đã giải quyết các vấn đề từng cái một thay vì cố gắng xử lý mọi thứ cùng lúc,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
99,4/29/2026 13:22:51,Number One Idioms,one and done,C1,/wʌn ənd dʌn/,Idioms,"Refers to an action or experience that is done only once, with no intention of repeating it","Chỉ một hành động hoặc trải nghiệm được thực hiện đúng một lần, không có ý định lặp lại",Làm một lần rồi thôi,"After the high-intensity workout left her aching for days, she decided that bootcamp was one and done","Sau buổi tập cường độ cao khiến cô đau nhức mấy ngày, cô ấy quyết định lớp bootcamp này chỉ một lần là xong",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
100,4/29/2026 13:22:51,Number One Idioms,down in one,C1,/daʊn ɪn wən/,Idioms,To drink the entire contents of a glass in one continuous motion without pausing,Uống hết toàn bộ nước trong ly một mạch không ngừng nghỉ,Uống cạn một hơi,"At the party, everyone laughed when Maria dared Tom to down his soda in one, and he surprisingly managed it without spilling a drop","Tại bữa tiệc, mọi người đều cười khi Maria thách Tom uống cạn ly nước ngọt một hơi, và anh ấy đã làm được mà không hề làm đổ một giọt nào",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
101,4/29/2026 13:22:51,Number One Idioms,be at one,C1,/bi ət wʌn/,Idioms,to be in full agreement or harmony with someone or something,hoàn toàn đồng ý hoặc hòa hợp với ai đó hoặc điều gì đó,Nhất chí với ai/cái gì,"After discussing their options, the group was at one on choosing the beach for their weekend trip","Sau khi thảo luận các lựa chọn, cả nhóm đã nhất trí chọn đi biển vào cuối tuần",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
102,4/29/2026 13:22:51,Number One Idioms,be a one,C2,/bi ə wən/,Idioms,To joke or act in a humorous but mildly disrespectful or cheeky manner,Đùa cợt hoặc hành động một cách hài hước nhưng hơi thiếu tôn trọng hoặc láu cá,Người hay đùa hoặc láu cá,"She’s a one for poking fun at her own bad habits, but we all know she’s working on improving them","Cô ấy hay đùa giỡn về những thói quen xấu của bản thân, nhưng mọi người đều biết cô ấy đang cố gắng sửa chữa chúng",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
103,4/29/2026 13:22:51,Number One Idioms,got it in one!,C2,/ɡɑt ɪt ɪn wʌn/,Idioms,Used to acknowledge that someone has guessed the correct answer immediately or on their first attempt,Cụm từ dùng để công nhận ai đó đã đoán đúng câu trả lời ngay từ lần đầu tiên hoặc không cần gợi ý,Đoán đúng ngay lần đầu,"When my sister guessed the secret ingredient in the soup without any clues, I laughed and said, ""You got it in one!""","Khi chị tôi đoán đúng nguyên liệu bí mật trong nồi canh mà không cần gợi ý nào, tôi cười bảo, ""Chị đoán trúng phóc luôn đấy!""",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
104,4/29/2026 13:22:51,Number One Idioms,for one,C1,/fɔːr wən/,Idioms,"Used to emphasize that one personally holds a certain opinion or would act a certain way, even if others don’t agree","Dùng để nhấn mạnh rằng bản thân một người có ý kiến hoặc sẽ hành động theo cách nào đó, ngay cả khi người khác không đồng ý",Chẳng hạn như tôi/bản thân tôi là một ví dụ,"
Most of the team wanted to work late, but I, for one, thought it was better to finish fresh in the morning","Hầu hết nhóm muốn làm việc muộn, nhưng tôi, cá nhân mà nói, nghĩ rằng tốt hơn nên hoàn thành công việc vào sáng hôm sau khi đã tỉnh táo",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
105,4/29/2026 13:22:51,Number One Idioms,one after another,B2,/wən ˌæftər əˈnʌðər/,Idioms,Many things happening continuously in a sequence,Nhiều thứ xảy ra liên tiếp theo một chuỗi,Liên tiếp nhau,"As soon as I finished folding the laundry, the dishes needed washing, and then the floors required sweeping—household chores kept coming one after another","Ngay khi tôi vừa gấp xong quần áo, lại phải rửa bát, rồi đến quét nhà—các việc nhà cứ đến hết cái này đến cái khác",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
