ID,created_at,topics,vocab,CEFR,IPA,word_form,E_meaning,EV_meaning,V_meaning,E_example,V_example,word_family,synonymous,antonym,bonus,user_id,learning_level,next_review
116,5/1/2026 2:26:10,Weather,temperature,A2,/ˈtem·pər·ə·tʃər/,noun - countable,The measured hotness or coldness of something,Đại lượng vật lý biểu thị mức độ nóng hoặc lạnh của một vật thể hoặc môi trường,Nhiệt độ,Most plants require a specific temperature range to grow well,Hầu hết các loài thực vật cần một khoảng nhiệt độ nhất định để sinh trưởng tốt,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
117,5/1/2026 2:26:10,Weather,temperature,C2,/ˈtem·pər·ə·tʃər/,noun - uncountable,The level of anger or tension within a situation,Mức độ giận dữ hoặc căng thẳng phát sinh trong một tình huống cụ thể,Độ nóng,"After the long negotiations failed, the temperature between the two sides was very high","Sau khi các cuộc đàm phán kéo dài thất bại, sự căng thẳng giữa hai bên đã lên đến đỉnh điểm",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
118,5/1/2026 2:26:10,Weather,warm,A1,/wɔːrm/,adjective,"Having or giving a pleasant, mild heat, but not hot","Diễn tả trạng thái có hoặc tỏa ra nhiệt độ dễ chịu, ôn hòa, không đến mức nóng",Ấm,The water in the pool felt comfortably warm for swimming,"Nước trong bể bơi ấm áp, rất thích hợp để bơi",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
119,5/1/2026 2:26:10,Weather,hot,A1,/hɑːt/,adjective,Having a high temperature,Có nhiệt độ cao,Nóng,Drink the tea while it is hot,Hãy uống trà khi còn nóng,,,cold,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
120,5/1/2026 2:26:10,Weather,hot,B1,/hɑːt/,adjective,"Sexually attractive, or feeling sexually excited","Có sức hấp dẫn về mặt tình dục, hoặc cảm thấy bị kích thích về mặt tình dục","Quyến rũ, gợi cảm",,,,,,"Đây là một thuật ngữ mang tính xúc phạm. Để tránh bình thường hóa hoặc khuyến khích việc sử dụng từ này, các thông tin theo ngữ cảnh như ""Ví dụ"" và ""Từ đồng nghĩa"" sẽ không được cung cấp.",7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
121,5/1/2026 2:26:10,Weather,hot,C1,/hɑːt/,adjective,Describing a subject that causes much argument or discussion,Miêu tả một chủ đề hoặc vấn đề đang gây ra nhiều tranh cãi hoặc thảo luận sôi nổi,Nóng,"The new park construction plan became a hot topic, with many community meetings held to discuss it","Kế hoạch xây dựng công viên mới trở thành một vấn đề nóng hổi, thu hút nhiều cuộc họp cộng đồng để bàn luận",,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
122,5/1/2026 2:26:10,Weather,cold,A1,/koʊld/,adjective,"Having a low temperature, not hot or warm, especially compared to a person's body","Mô tả trạng thái có nhiệt độ thấp, không nóng hoặc ấm, đặc biệt là khi so sánh với nhiệt độ cơ thể con người",Lạnh,The winter air felt cold on my skin,Không khí mùa đông lạnh thấm vào da tôi,,chilly cool,hot,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
123,5/1/2026 2:26:10,Weather,chilly,C1,/ˈtʃɪl·iː/,adjective,Feeling a bit cold,Có cảm giác hơi lạnh,Hơi lạnh,The air felt chilly as the sun began to set,Không khí se lạnh dần khi mặt trời bắt đầu lặn,,cold cool,hot,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
124,5/1/2026 2:26:10,Weather,rain,A1,/reɪn/,noun,Drops of water from clouds,Những giọt nước rơi từ các đám mây,Mưa,We heard the sound of rain hitting the roof,Chúng tôi nghe thấy tiếng mưa rơi trên mái nhà,,,,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
125,5/1/2026 2:26:10,Weather,rainy,B1,/ˈreɪ·niː/,adjective,Raining a lot,Mô tả một khoảng thời gian hoặc địa điểm có lượng mưa lớn,Mưa nhiều,"After several rainy days, the river began to overflow its banks","Sau những ngày mưa tầm tã, con sông bắt đầu tràn bờ",,wet,dry clear,,7621f042-1c7b-4cd7-83fb-d48d3f132181,0,
